feature_set,sampler,model_name,tuned,accuracy,precision,recall,f1,f1_macro,roc_auc,confusion_matrix_path,classification_report_path,roc_curve_path,pr_curve_path
all_features,random_undersampling,knn,False,0.9318181818181818,0.9111111111111111,0.8367346938775511,0.8723404255319149,0.912914398812469,0.9584203760244254,outputs/plots/confusion_matrix_all_features_random_undersampling_knn.png,outputs/reports/classification_report_all_features_random_undersampling_knn.txt,outputs/plots/roc_curve_all_features_random_undersampling_knn.png,outputs/plots/precision_recall_curve_all_features_random_undersampling_knn.png
select_k_best,none,decision_tree,False,0.9232954545454546,0.8817204301075269,0.8367346938775511,0.8586387434554974,0.9030035822540645,0.8967138036316888,outputs/plots/confusion_matrix_select_k_best_none_decision_tree.png,outputs/reports/classification_report_select_k_best_none_decision_tree.txt,outputs/plots/roc_curve_select_k_best_none_decision_tree.png,outputs/plots/precision_recall_curve_select_k_best_none_decision_tree.png
random_forest_importance,smote,decision_tree,False,0.9034090909090909,0.82,0.8367346938775511,0.8282828282828283,0.8805445761967501,0.8829342760726339,outputs/plots/confusion_matrix_random_forest_importance_smote_decision_tree.png,outputs/reports/classification_report_random_forest_importance_smote_decision_tree.txt,outputs/plots/roc_curve_random_forest_importance_smote_decision_tree.png,outputs/plots/precision_recall_curve_random_forest_importance_smote_decision_tree.png
all_features,none,svm_rbf,False,0.9488636363636364,0.9878048780487805,0.826530612244898,0.9,0.9328244274809161,0.9821629439177246,outputs/plots/confusion_matrix_all_features_none_svm_rbf.png,outputs/reports/classification_report_all_features_none_svm_rbf.txt,outputs/plots/roc_curve_all_features_none_svm_rbf.png,outputs/plots/precision_recall_curve_all_features_none_svm_rbf.png
random_forest_importance,none,knn,False,0.9488636363636364,0.9878048780487805,0.826530612244898,0.9,0.9328244274809161,0.9555077936686486,outputs/plots/confusion_matrix_random_forest_importance_none_knn.png,outputs/reports/classification_report_random_forest_importance_none_knn.txt,outputs/plots/roc_curve_random_forest_importance_none_knn.png,outputs/plots/precision_recall_curve_random_forest_importance_none_knn.png
select_k_best,smote,svm_rbf,False,0.9460227272727273,0.9759036144578314,0.826530612244898,0.8950276243093923,0.9293493762082334,0.9754941346617386,outputs/plots/confusion_matrix_select_k_best_smote_svm_rbf.png,outputs/reports/classification_report_select_k_best_smote_svm_rbf.txt,outputs/plots/roc_curve_select_k_best_smote_svm_rbf.png,outputs/plots/precision_recall_curve_select_k_best_smote_svm_rbf.png
select_k_best,random_undersampling,svm_rbf,False,0.9460227272727273,0.9759036144578314,0.826530612244898,0.8950276243093923,0.9293493762082334,0.9761770850072312,outputs/plots/confusion_matrix_select_k_best_random_undersampling_svm_rbf.png,outputs/reports/classification_report_select_k_best_random_undersampling_svm_rbf.txt,outputs/plots/roc_curve_select_k_best_random_undersampling_svm_rbf.png,outputs/plots/precision_recall_curve_select_k_best_random_undersampling_svm_rbf.png
rfe_log_reg,none,svm_rbf,False,0.9460227272727273,0.9759036144578314,0.826530612244898,0.8950276243093923,0.9293493762082334,0.9717579945363972,outputs/plots/confusion_matrix_rfe_log_reg_none_svm_rbf.png,outputs/reports/classification_report_rfe_log_reg_none_svm_rbf.txt,outputs/plots/roc_curve_rfe_log_reg_none_svm_rbf.png,outputs/plots/precision_recall_curve_rfe_log_reg_none_svm_rbf.png
random_forest_importance,none,svm_rbf,False,0.9460227272727273,0.9759036144578314,0.826530612244898,0.8950276243093923,0.9293493762082334,0.9763779527559056,outputs/plots/confusion_matrix_random_forest_importance_none_svm_rbf.png,outputs/reports/classification_report_random_forest_importance_none_svm_rbf.txt,outputs/plots/roc_curve_random_forest_importance_none_svm_rbf.png,outputs/plots/precision_recall_curve_random_forest_importance_none_svm_rbf.png
random_forest_importance,smote,svm_rbf,False,0.9431818181818182,0.9642857142857143,0.826530612244898,0.8901098901098901,0.9258978569323397,0.9764582998553752,outputs/plots/confusion_matrix_random_forest_importance_smote_svm_rbf.png,outputs/reports/classification_report_random_forest_importance_smote_svm_rbf.txt,outputs/plots/roc_curve_random_forest_importance_smote_svm_rbf.png,outputs/plots/precision_recall_curve_random_forest_importance_smote_svm_rbf.png
random_forest_importance,smoteenn,svm_rbf,False,0.9431818181818182,0.9642857142857143,0.826530612244898,0.8901098901098901,0.9258978569323397,0.9779848947452997,outputs/plots/confusion_matrix_random_forest_importance_smoteenn_svm_rbf.png,outputs/reports/classification_report_random_forest_importance_smoteenn_svm_rbf.txt,outputs/plots/roc_curve_random_forest_importance_smoteenn_svm_rbf.png,outputs/plots/precision_recall_curve_random_forest_importance_smoteenn_svm_rbf.png
rfe_log_reg,none,decision_tree,False,0.9289772727272727,0.9101123595505618,0.826530612244898,0.8663101604278075,0.9089771305040392,0.8975172746263861,outputs/plots/confusion_matrix_rfe_log_reg_none_decision_tree.png,outputs/reports/classification_report_rfe_log_reg_none_decision_tree.txt,outputs/plots/roc_curve_rfe_log_reg_none_decision_tree.png,outputs/plots/precision_recall_curve_rfe_log_reg_none_decision_tree.png
select_k_best,none,svm_rbf,False,0.9431818181818182,0.975609756097561,0.8163265306122449,0.8888888888888888,0.9253604749787956,0.9738068455728748,outputs/plots/confusion_matrix_select_k_best_none_svm_rbf.png,outputs/reports/classification_report_select_k_best_none_svm_rbf.txt,outputs/plots/roc_curve_select_k_best_none_svm_rbf.png,outputs/plots/precision_recall_curve_select_k_best_none_svm_rbf.png
rfe_log_reg,none,knn,False,0.9403409090909091,0.9753086419753086,0.8061224489795918,0.88268156424581,0.9213407821229049,0.9389562911778885,outputs/plots/confusion_matrix_rfe_log_reg_none_knn.png,outputs/reports/classification_report_rfe_log_reg_none_knn.txt,outputs/plots/roc_curve_rfe_log_reg_none_knn.png,outputs/plots/precision_recall_curve_rfe_log_reg_none_knn.png
all_features,none,knn,False,0.9346590909090909,0.9746835443037974,0.7857142857142857,0.8700564971751412,0.9132066167090127,0.9350594568536076,outputs/plots/confusion_matrix_all_features_none_knn.png,outputs/reports/classification_report_all_features_none_knn.txt,outputs/plots/roc_curve_all_features_none_knn.png,outputs/plots/precision_recall_curve_all_features_none_knn.png
